	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
0	128169527	Rightmove	Kensington and Chelsea	unfurnished	Apartment	98.0	3.0	3.0	6717.0	68.54	2239.0	2022-10-28	available	Long term	unfurnished	2022-10-27
1	114394517	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0		2200.0		1100.0		occupied	Long term	furnished	2022-10-27
2	126171746	Rightmove	Tower Hamlets	furnished	Apartment		3.0	2.0	7367.0		2455.67	2022-11-30	occupied	Long term	furnished	2022-10-27
3	128133854	Rightmove	Hammersmith and Fulham	furnished	Flat		2.0	3.0	3350.0		1675.0	2022-10-29	occupied	Long term	furnished	2022-10-27
4	81948747	Rightmove	City of Westminster	furnished	Apartment	56.0	2.0	1.0	5010.0	89.46	2505.0	2023-02-06	occupied	Long term	furnished	2022-10-27
5	114654701	Rightmove	Hackney	furnished	Apartment	51.0	1.0	1.0	5270.0	103.33	5270.0	2023-02-20	occupied	Long term	furnished	2022-10-27
6	127763474	Rightmove	Kensington and Chelsea	furnished	Studio		0.0	1.0	1650.0		1650.0	2022-11-01	occupied	Long term	furnished	2022-10-27
7	128133488	Rightmove	Camden	unfurnished	Flat		3.0	1.0	3500.0		1166.67	2022-11-15	occupied	Long term	unfurnished	2022-10-27
8	642373	Spotahome	Kensington and Chelsea	furnished	Apartment		1.0		4900.0		4900.0	2022-12-02	occupied		furnished	2022-10-27
9	128202083	Rightmove	Kensington and Chelsea	furnished	Flat	112.0	2.0	2.0	4117.0	36.76	2058.5		occupied	Long term	furnished	2022-10-27
10	128470298	Rightmove	City of London	furnished	Studio		0.0	1.0	1400.0		1400.0	2022-12-27	occupied	Long term	furnished	2022-10-27
11	123925436	Rightmove	City of London	furnished	Apartment		1.0	1.0	5633.0		5633.0	2022-10-28	available	Short term	furnished	2022-10-27
12	913362	Spotahome	City of Westminster	furnished	Apartment		1.0	1.0	2790.0		2790.0	2022-12-02	occupied		furnished	2022-10-27
13	128464265	Rightmove	Hammersmith and Fulham	furnished	Flat	88.0	3.0	2.0	4788.0	54.41	1596.0	2022-10-28	available	Long term	flexible	2022-10-27
14	128348144	Rightmove	Lambeth	furnished	Flat		1.0	1.0	1600.0		1600.0		occupied	Long term	furnished	2022-10-27
15	93105830	Rightmove	Camden	furnished	Studio	28.0	0.0	1.0	3400.0	121.43	3400.0	2022-11-14	occupied	Short term	furnished	2022-10-27
16	128366528	Rightmove	Camden	furnished	Apartment		1.0	1.0	4767.0		4767.0	2022-11-05	occupied	Long term	flexible	2022-10-27
17	128229755	Rightmove	Lambeth	unfurnished	Flat		1.0	1.0	1600.0		1600.0	2022-12-03	occupied	Long term	part furnished	2022-10-27
18	127758695	Rightmove	Lambeth	unfurnished	Apartment		3.0	2.0	3600.0		1200.0	2022-10-31	occupied	Long term	unfurnished	2022-10-27
19	467433	Spotahome	City of London	furnished	Apartment	50.0	1.0	1.0	6980.0	139.6	6980.0	2022-11-02	occupied		furnished	2022-10-27
20	128303171	Rightmove	Tower Hamlets	furnished	Apartment		3.0	2.0	5633.0		1877.67		occupied	Long term	furnished	2022-10-27
21	126932324	Rightmove	Islington	unfurnished	Flat	41.0	1.0	1.0	2059.0	50.22	2059.0		occupied	Long term	part furnished	2022-10-27
22	128059934	Rightmove	City of Westminster	furnished	Flat		3.0	2.0	7583.0		2527.67		occupied	Long term	furnished	2022-10-27
23	127073846	Rightmove	Lambeth	furnished	Apartment		1.0	1.0	2600.0		2600.0	2022-11-14	occupied	Long term	furnished	2022-10-27
24	127544285	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0	2.0	4788.0		1596.0	2022-10-28	available	Long term	furnished	2022-10-27
25	818636	Spotahome	City of Westminster	furnished	Studio		0.0		3422.0		3422.0	2022-12-16	occupied		furnished	2022-10-27
