	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
0	127896770	Rightmove	Lambeth	furnished	Flat		2.0	2.0	3878.0		1939.0	2022-10-12	available	Long term	furnished	2022-10-12
1	127460438	Rightmove	Lambeth	furnished	Flat		1.0	1.0	1560.0		1560.0	2022-10-12	available	Long term	furnished	2022-10-12
2	85887825	Rightmove	City of Westminster	unfurnished	Flat		1.0	1.0	2150.0		2150.0	2022-12-08	occupied	Long term	part furnished	2022-10-12
3	85898433	Rightmove	Camden	furnished	Flat		1.0		1582.0		1582.0			Long term	furnished	2022-10-12
4	127712153	Rightmove	Tower Hamlets	unfurnished	Flat		1.0	1.0	1898.0		1898.0			Long term	part furnished	2022-10-12
5	120085640	Rightmove	City of London	furnished	Apartment		1.0	1.0	5633.0		5633.0	2022-10-12	available	Long term	furnished	2022-10-12
6	121781918	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	6500.0		3250.0	2022-10-12	available	Short term	furnished	2022-10-12
7	127926644	Rightmove	Kensington and Chelsea	furnished	Flat	71.0	2.0	1.0	4333.0	61.03	2166.5	2022-10-24	occupied	Long term	flexible	2022-10-12
8	127811675	Rightmove	City of Westminster	furnished	Flat		3.0	3.0	6608.0		2202.67			Long term	furnished	2022-10-12
9	127838156	Rightmove	Hammersmith and Fulham	furnished	Flat		3.0	2.0	4000.0		1333.33	2022-10-29	occupied	Long term	flexible	2022-10-12
10	127493789	Rightmove	Islington	unfurnished	Apartment		2.0	1.0	3098.0		1549.0			Long term	unfurnished	2022-10-12
11	127510292	Rightmove	Lambeth	unfurnished	Flat	90.0	2.0	2.0	2900.0	32.22	1450.0			Long term	unfurnished	2022-10-12
12	127717955	Rightmove	Kensington and Chelsea	furnished	Flat	199.0	3.0	3.0	24960.0	125.43	8320.0	2022-10-12	available	Long term	furnished	2022-10-12
13	625977	Spotahome	Islington	furnished	Apartment	30.0	1.0	1.0	5700.0	190.0	5700.0	2022-12-08	occupied		furnished	2022-10-12
14	127650593	Rightmove	Hammersmith and Fulham	unfurnished	Flat		3.0	2.0	3033.0		1011.0	2022-11-16	occupied	Long term	unfurnished	2022-10-12
15	127488461	Rightmove	City of Westminster	furnished	Flat		3.0	3.0	11917.0		3972.33			Long term	furnished	2022-10-12
16	127931855	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	4377.0		2188.5	2022-10-13	occupied	Long term	furnished	2022-10-12
17	127578284	Rightmove	City of Westminster	furnished	Apartment		1.0	1.0	3750.0		3750.0	2022-11-30	occupied	Long term	flexible	2022-10-12
18	127759373	Rightmove	Camden	furnished	Apartment	125.0	3.0	2.0	6000.0	48.0	2000.0	2022-10-18	occupied	Long term	furnished	2022-10-12
19	127209875	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	1.0	4000.0		2000.0	2022-10-12	available	Long term	furnished	2022-10-12
20	85878945	Rightmove	City of Westminster	furnished	Apartment		1.0	1.0	2401.0		2401.0	2022-12-07	occupied	Long term	flexible	2022-10-12
21	127544285	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0	2.0	4788.0		1596.0	2022-10-12	available	Long term	furnished	2022-10-12
22	85902324	Rightmove	Hammersmith and Fulham	furnished	Flat		1.0	1.0	1850.0		1850.0	2022-12-02	occupied	Long term	furnished	2022-10-12
23	120903599	Rightmove	Tower Hamlets	furnished	Apartment	54.0	1.0	1.0	3120.0	57.78	3120.0	2022-12-25	occupied	Long term	furnished	2022-10-12
24	127757612	Rightmove	Camden	unfurnished	Flat		1.0	1.0	2000.0		2000.0	2022-10-12	available	Long term	unfurnished	2022-10-12
25	123674876	Rightmove	City of London	furnished	Apartment		2.0	2.0	9533.0		4766.5			Long term	furnished	2022-10-12
26	127276808	Rightmove	Kensington and Chelsea	furnished	Flat	61.0	2.0	1.0	3034.0	49.74	1517.0			Long term	furnished	2022-10-12
27	194	Blueground	Hammersmith and Fulham	furnished	Apartment	102.84	2.0	2.5	5000.0	49.02	2500.0	2022-10-18	occupied		furnished	2022-10-12
28	127816556	Rightmove	City of Westminster	furnished	Flat	234.0	5.0	5.0	8428.0	36.02	1685.6			Long term	furnished	2022-10-12
29	127168655	Rightmove	Hammersmith and Fulham	unfurnished	Flat	79.0	2.0	2.0	3879.0	49.1	1939.5			Long term	unfurnished	2022-10-12
30	85910049	Rightmove	Kensington and Chelsea	furnished	Apartment		1.0		4767.0		4767.0	2022-10-12	available	Long term	furnished	2022-10-12
31	603975	Spotahome	Kensington and Chelsea	furnished	Studio		0.0	1.0	4654.0		4654.0	2022-10-16	occupied		furnished	2022-10-12
32	347121	Spotahome	City of Westminster	furnished	Apartment		1.0	1.0	2000.0		2000.0	2024-01-01	occupied		furnished	2022-10-12
33	888211	Spotahome	Lambeth	furnished	Apartment	75.0	2.0	2.0	6270.0	83.6	3135.0	2022-10-28	occupied		furnished	2022-10-12
34	121354793	Rightmove	Camden	furnished	Flat		3.0	4.0	5850.0		1950.0	2022-10-12	available	Long term	flexible	2022-10-12
35	127533752	Rightmove	Kensington and Chelsea	furnished	Flat	71.0	2.0	2.0	4333.0	61.03	2166.5	2022-10-12	available	Long term	furnished	2022-10-12
36	127782581	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	1.0	3575.0		1787.5	2022-11-01	occupied	Long term	flexible	2022-10-12
37	126647633	Rightmove	Tower Hamlets	furnished	Studio		0.0		1976.0		1976.0			Long term	furnished	2022-10-12
38	127861871	Rightmove	City of Westminster	furnished	Apartment		2.0	1.0	2578.0		1289.0	2022-12-01	occupied	Long term	furnished	2022-10-12
39	85408323	Rightmove	Hammersmith and Fulham	furnished	Flat	78.0	2.0	2.0	5850.0	75.0	2925.0	2022-10-12	available	Long term	flexible	2022-10-12
40	127003292	Rightmove	Camden	furnished	Flat		4.0	4.0	11917.0		2979.25	2022-10-31	occupied	Long term	furnished	2022-10-12
41	125639120	Rightmove	Camden	furnished	Flat		2.0	1.0	3683.0		1841.5			Long term	furnished	2022-10-12
42	127286252	Rightmove	Hammersmith and Fulham	furnished	Flat		2.0	2.0	4116.0		2058.0	2022-10-12	available	Long term	flexible	2022-10-12
43	85541781	Rightmove	Camden	furnished	Flat		1.0	1.0	3445.0		3445.0	2022-10-12	available	Long term	flexible	2022-10-12
44	127766177	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	1.0	3033.0		1516.5	2022-12-05	occupied	Long term	furnished	2022-10-12
45	125571296	Rightmove	City of London	furnished	Flat		1.0	1.0	3900.0		3900.0			Long term	furnished	2022-10-12
46	116919512	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0		5633.0		1877.67			Long term	furnished	2022-10-12
47	126611924	Rightmove	Lambeth	furnished	Flat		3.0	1.0	3000.0		1000.0	2022-10-20	occupied	Long term	furnished	2022-10-12
48	378842	Spotahome	Camden	furnished	Apartment		2.0	1.0	2600.0		1300.0	2024-02-03	occupied		furnished	2022-10-12
49	85881069	Rightmove	Kensington and Chelsea	furnished	Flat	38.0	1.0	1.0	2384.0	62.74	2384.0			Long term	furnished	2022-10-12
50	127916966	Rightmove	Camden	furnished	Studio		0.0	1.0	1777.0		1777.0	2022-10-27	occupied	Long term	furnished	2022-10-12
51	127723976	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	2250.0		2250.0	2022-10-31	occupied	Long term	furnished	2022-10-12
52	122407277	Rightmove	Tower Hamlets	furnished	Apartment	52.0	1.0	1.0	4170.0	80.19	4170.0	2022-11-25	occupied	Long term	furnished	2022-10-12
53	125268869	Rightmove	City of Westminster	unfurnished	Apartment		2.0	2.0	9533.0		4766.5	2022-10-12	available	Long term	unfurnished	2022-10-12
54	126627800	Rightmove	Kensington and Chelsea	furnished	Flat		1.0	1.0	2275.0		2275.0			Long term	furnished	2022-10-12
55	127526450	Rightmove	City of Westminster	furnished	Apartment		3.0	2.0	23725.0		7908.33	2022-10-30	occupied	Long term	furnished	2022-10-12
56	127315406	Rightmove	Camden	furnished	Flat		1.0	1.0	2150.0		2150.0	2022-11-23	occupied	Long term	flexible	2022-10-12
57	125042579	Rightmove	Tower Hamlets	furnished	Studio	20.0	0.0	1.0	5550.0	277.5	5550.0			Long term	furnished	2022-10-12
58	127711505	Rightmove	City of Westminster	unfurnished	Flat	104.0	2.0	1.0	3142.0	30.21	1571.0			Long term	unfurnished	2022-10-12
59	127526561	Rightmove	Hammersmith and Fulham	unfurnished	Flat	153.0	3.0	3.0	6717.0	43.9	2239.0			Long term	unfurnished	2022-10-12
60	124792997	Rightmove	Camden	furnished	Flat	19.0	4.0	4.0	5417.0	285.11	1354.25	2022-10-12	available	Long term	flexible	2022-10-12
61	126320063	Rightmove	Tower Hamlets	furnished	Flat		3.0		5499.0		1833.0	2022-10-15	occupied	Long term	furnished	2022-10-12
62	127547756	Rightmove	Lambeth	furnished	Flat		2.0	2.0	2275.0		1137.5	2022-10-12	available	Long term	furnished	2022-10-12
63	127814708	Rightmove	City of Westminster	unfurnished	Flat		3.0	2.0	5027.0		1675.67	2023-01-02	occupied	Long term	unfurnished	2022-10-12
64	85877007	Rightmove	Tower Hamlets	furnished	Flat		2.0	2.0	4333.0		2166.5			Long term	furnished	2022-10-12
65	127598876	Rightmove	City of Westminster	furnished	Apartment		1.0	1.0	2708.0		2708.0			Long term	furnished	2022-10-12
66	607191	Spotahome	Kensington and Chelsea	furnished	Studio		0.0		3033.0		3033.0	2022-10-19	occupied		furnished	2022-10-12
67	127174616	Rightmove	Camden	furnished	Flat		1.0	1.0	2816.0		2816.0	2022-11-02	occupied	Long term	furnished	2022-10-12
68	127460186	Rightmove	City of Westminster	furnished	Apartment		2.0	2.0	3250.0		1625.0	2022-12-03	occupied	Long term	furnished	2022-10-12
69	127560116	Rightmove	Camden	furnished	Apartment		2.0	2.0	2700.0		1350.0	2022-10-12	available	Long term	furnished	2022-10-12
70	127675358	Rightmove	Lambeth	unfurnished	Flat		2.0	1.0	1900.0		950.0			Long term	part furnished	2022-10-12
71	127912493	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	1.0	2999.0		1499.5	2022-10-28	occupied	Long term	furnished	2022-10-12
72	125490263	Rightmove	Hammersmith and Fulham	furnished	Apartment		3.0	2.0	5850.0		1950.0	2022-11-01	occupied	Long term	furnished	2022-10-12
73	127852628	Rightmove	City of Westminster	furnished	Apartment		1.0	1.0	15015.0		15015.0	2022-10-12	available	Long term	furnished	2022-10-12
74	603986	Spotahome	Kensington and Chelsea	furnished	Studio		0.0		3915.0		3915.0	2022-10-22	occupied		furnished	2022-10-12
75	127832882	Rightmove	Camden	furnished	Flat		2.0		3500.0		1750.0	2022-11-08	occupied	Long term	furnished	2022-10-12
76	121674425	Rightmove	Camden	furnished	Flat		4.0	4.0	21666.0		5416.5	2022-10-12	available	Long term	furnished	2022-10-12
77	126618755	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	1600.0		1600.0	2022-10-22	occupied	Long term	furnished	2022-10-12
78	127536410	Rightmove	Hammersmith and Fulham	furnished	Studio		0.0	1.0	1820.0		1820.0	2023-01-01	occupied	Long term	furnished	2022-10-12
79	120	Blueground	Lambeth	furnished	Apartment	49.61	1.0	1.0	3240.0	66.12	3240.0	2022-11-12	occupied		furnished	2022-10-12
80	123186200	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	2.0	5416.0		2708.0	2022-10-12	available	Long term	furnished	2022-10-12
81	346230	Spotahome	City of Westminster	furnished	Studio	18.0	0.0	1.0	2250.0	125.0	2250.0	2023-03-04	occupied		furnished	2022-10-12
82	125717375	Rightmove	Hammersmith and Fulham	furnished	Flat	116.0	2.0	2.0	6283.0	54.16	3141.5	2022-10-12	available	Long term	flexible	2022-10-12
83	85908411	Rightmove	Islington	furnished	Flat		1.0	1.0	1750.0		1750.0	2022-12-13	occupied	Long term	furnished	2022-10-12
84	127838378	Rightmove	Lambeth	furnished	Apartment		2.0	2.0	3142.0		1571.0	2022-10-15	occupied	Long term	furnished	2022-10-12
85	843250	Spotahome	Hackney	furnished	Apartment		2.0	1.0	7575.0		3787.5	2022-11-09	occupied		furnished	2022-10-12
