	platform_id	platform	neighborhood	property_type	housing_type	price_pcm	title	furnished	available_from	available_from_0	available_from_1	available_from_2
0	654298	spotahome	Hammersmith and Fulham	studios	Studio	2650	The Armadale Road Residence II	furnished	16 December	16	December	
1	654299	spotahome	Hammersmith and Fulham	studios	Studio	2500	The Armadale Road Residence III	furnished	20 December	20	December	
2	113567	spotahome	Hammersmith and Fulham	studios	Studio	1400	Studio flat with double bed to rent in Kensington, London	furnished	18 June 2023	18	June	2023
3	761515	spotahome	Kensington and Chelsea	studios	Studio	2250	Studio for rent in a co-living building in Notting Hill	furnished	9 October	9	October	
4	759191	spotahome	Kensington and Chelsea	studios	Studio	2300	Studio for rent in a co-living building in Notting Hill	furnished	9 October	9	October	
5	759607	spotahome	Kensington and Chelsea	studios	Studio	2300	Studio for rent in a co-living building in Notting Hill	furnished	9 October	9	October	
6	607194	spotahome	Kensington and Chelsea	studios	Studio	3033	Studio for rent in Earls Court, London	furnished	11 October	11	October	
7	605392	spotahome	Kensington and Chelsea	studios	Studio	2438	Studio Apartment for rent in Kensington and Chelsea, London	furnished	10 November	10	November	
8	838188	spotahome	Kensington and Chelsea	studios	Studio	3000	Studio for rent in South Kensington, London	furnished	5 November	5	November	
9	695376	spotahome	Kensington and Chelsea	studios	Studio	1300	Studio apartment for rent in Kensington And Chelsea, London	furnished	19 December	19	December	
10	695377	spotahome	Kensington and Chelsea	studios	Studio	1300	Studio apartment for rent in Kensington And Chelsea, London	furnished	1 December	1	December	
11	603972	spotahome	Kensington and Chelsea	studios	Studio	4134	Studio Apartment for rent in Kensington and Chelsea, London	furnished	9 November	9	November	
12	642015	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in South Kensington, London	furnished	11 November	11	November	
13	638062	spotahome	Kensington and Chelsea	studios	Studio	4000	Studio apartment for rent in Chelsea, London	furnished	9 October	9	October	
14	838187	spotahome	Kensington and Chelsea	studios	Studio	3500	Studio for rent in South Kensington, London	furnished	1 November	1	November	
15	838189	spotahome	Kensington and Chelsea	studios	Studio	3500	Studio for rent in South Kensington, London	furnished	4 November	4	November	
16	643269	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in Notting Hill, London	furnished	27 October	27	October	
17	643279	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in Notting Hill, London	furnished	2 November	2	November	
18	762954	spotahome	Kensington and Chelsea	studios	Studio	2350	Studio in London	furnished	8 November	8	November	
19	642042	spotahome	Kensington and Chelsea	studios	Studio	4900	Studio apartment for rent in South Kensington, London	furnished	2 November	2	November	
20	643227	spotahome	Kensington and Chelsea	studios	Studio	4407	Studio apartment for rent in Notting Hill, London	furnished	1 November	1	November	
21	642349	spotahome	Kensington and Chelsea	studios	Studio	3915	Studio apartment for rent in Notting Hill, London	furnished	10 October	10	October	
22	476256	spotahome	Kensington and Chelsea	studios	Studio	2200	Studio apartment for rent in Kensington, London	furnished	4 December	4	December	
23	574861	spotahome	Kensington and Chelsea	studios	Studio	3033	Studio for rent in Earls Court, London	furnished	11 October	11	October	
24	603974	spotahome	Kensington and Chelsea	studios	Studio	4654	Studio Apartment for rent in Kensington and Chelsea, London	furnished	12 November	12	November	
