	id	bathrooms	m2	bedrooms
0	654298	1		
0	654299	1		
0	113567	1		
0	761515	1		
0				
0	759607	1		
0				
0				
0	838188	1	18	
0	695376	1		
0	695377	1		
0	603972	1		
0				
0	638062	1		
0	838187	1	16	
0	838189	1	16	
0				
0				
0	762954	1	60	
0				
0				
0				
0	476256	1	18	
0				
0	603974	1		
0	603975	1		
0				
0				
0				
0				
0				
0				
0	603982	1		
0				
0				
0				
0				
0	438447	1	21	
0				
0				
0	398674	1		
0				
0				
0				
0				
0				
0				
0				
0	399035	1		
0				
0	476257	1	18	
0	305062	1	3	
0				
0				
0				
0				
0				
0	398100	1		
0				
0	398673	1		
0	398669	1		
0	345105	1		
0	294182	1		
0				
0				
0				
0				
0	398104	1		
0	398678	1		
0	597606	1		
0				
0				
0	849043	1		
0				
0	343519	1		
0	399039	1		
0				
0	866987	1	41	
0				
0	399036	1		
0	343520	1		
0				
0	603973	1		
0	345131	1		
0				
0	343532	1		
0	352507	1		
0	343496	1		
0	343533	1		
0	345574	1		
0	343555	1		
0	343522	1		
0				
0	345179	1		
0	343556	1		
0	398672	1		
0	343525	1		
0	345180	1		
0				
0				
0	345181	1		
0				
0				
0				
0	398670	1		
0	726585	1		
0				
0				
0				
0	605396	1		
0				
0				
0				
0				
0				
0				
0	385936	1		
0				
0	378830	1		
0	652375	1		
0				
0				
0				
0				
0				
0				
0				
0	472167	1	28	
0	689203	1		
0	689198	1		
0				
0				
0	595739	1	15	
0	781160	1	30	
0	765150	1	20	
0				
0				
0	477498	1	21	
0	641783	1		
0	415019	1		
0	689199	1		
0	442727	1	12	
0	438864	1	16	
0				
0				
0				
0				
0	841531	1	56	
0				
0				
0				
0				
0				
0				
0				
0	450601	1	32	
0				
0				
0	441364	1	12	
0				
0				
0	575684	1	20	
0				
0	641719	1		
0				
0				
0	346230	1	18	
0	389838	1	25	
0	612043	1	24	
0	523297	1		
0	577148	1	19	
0	449633	1	32	
0	466238	1	16	
0	689202	1		
0	459608	1	20	
0	473633	1	18	
0	689200	1		
0	388755	1	14	
0				
0				
0	462707	1	18	
0	477499	1	15	
0	441357	1	15	
0	438863	1	18	
0				
0	441358	1	15	
0	754765	1	14	
0	689201	1		
0	476681	1	18	
0				
0				
0	382452	1		
0				
0				
0				
0				
0				
0				
0				
0	382457	1		
0	382479	1		
0				
0				
0				
0	382488	1		
0	382472	1		
0				
0	382465	1		
0				
0				
0	781433	1	32	
0				
0				
0				
0				
0				
0				
0				
0	844697	1		
0	844700	1		
0	844698	1		
0	844699	1		
0	843315	1		
0	844701	1		
0	728336	1		
0	460109	1	40	
0	382463	1		
0				
0				
0				
0				
0	269689	1		
0	623781	1		
0	266422	1		
0				
0				
0	866660	1	25	
0	399134	1	25	
0	746598	1	30	
0				
0	619142	1		1
0	639575	1	43	1
0	559651	1	45	1
0	654312	1		1
0	469830			1
0	773979			1
0	654336	1		1
0	297773	1		1
0	386036	1		1
0	242151	1	37	1
0	112243	1		1
0	643969	1		1
0	605088	1	40	1
0	385951	1		1
0	386020	1		1
0	386016	1		1
0	385953	1		1
0	642367			1
0	642365			1
0	643231			1
0	438395			1
0	440340	1	47	1
0	642363			1
0	476678	1	30	1
0	392383	1	65	1
0	390813	1		1
0	692541			1
0	642371			1
0	392389	2	55	1
0	276511			1
0	431849			1
0	398106	1		1
0	643242			1
0	477493	1	48	1
0	476676	1	40	1
0	296865	1	44	1
0	603983	1		1
0	760899	1	80	1
0	889643			1
0	227542	1	45	1
0	769226	1	46	1
0	420202			1
0	420076			1
0	233119	1	80	1
0	420092			1
0	420090			1
0	438295	1	23	1
0	420197			1
0	643271			1
0	420045			1
0	642373			1
0	421918			1
0	610763	1		1
0	611464	1	45	1
0	603978			1
0	294848	1	50	1
0	421950			1
0	448260	1		1
0	346605	1	49	1
0	654332	1		1
0	643050			1
0	828775			1
0	468977			1
0	654316	1		1
0	438892	1	49	1
0	456767	1	44	1
0	420058	1		1
0	605386	1		1
0	523294	2	51	1
0	471466	1	44	1
0	420043			1
0	267057	1	60	1
0	420063			1
0	385938	1		1
0	449631	1	37	1
0	378846	1		1
0	438888	1	44	1
0	429308			1
0	386005	1		1
0	643052	1		1
0	385970	1		1
0	603976			1
0	294850	1	48	1
0	642369			1
0	449700	1	36	1
0	415322	1		1
0	480120	1	41	1
0	456765	1	38	1
0	596546	1	35	1
0	363445	2	75	1
0	604187	2	56	1
0	867016			1
0	338997	1	32	1
0	438388			1
0	517710	1	51	1
0	358178	1	35	1
0	354027	1		1
0	611936	1	45	1
0	428386			1
0	354023	1		1
0	641816			1
0	428388			1
0	428382			1
0	654354	1		1
0	847552			1
0	460352			1
0	641799			1
0	460354	1		1
0	428384			1
0	448231	1	30	1
0	654302	1		1
0	428169			1
0	448897	1	37	1
0	428412			1
0	428380			1
0	460248	1		1
0	428378			1
0	428414			1
0	421989			1
0	428167			1
0	448227	1	32	1
0	448296	1	43	1
0	347121	1		1
0	422264			1
0	422279			1
0	641818			1
0	270011	1		1
0	438960			1
0	260012	1	50	1
0	441359	1	39	1
0	140039	1	55	1
0	638038	1		1
0	595723	1	48	1
0	223573	1	32	1
0	654310	1		1
0	654306	1		1
0	454624			1
0	677083	1	58	1
0	654318	1		1
0	469857			1
0	386022	1		1
0	386003	2		1
0	386001	1		1
0	641809			1
0	385993	1		1
0	386009	1		1
0	386026	2		1
0	654328	2		1
0	642034			1
0	515483	1	46	1
0	676984	1		1
0	561050	1	30	1
0	561048	1	35	1
0	646986			1
0	561044	1	45	1
0	508280	1	35	1
0	646993			1
0	414675			1
0	471163			1
0	506870	1	45	1
0	467446	1	50	1
0	638054	1		1
0	597689	1	55	1
0	797727	1		1
0	467442	1	50	1
0	453368	1	47	1
0	781088			1
0	782657	2	68	1
0	676986	1		1
0	646865			1
0	471167			1
0	843279	1		1
0	426721	1		1
0	471173			1
0	652327	1	40	1
0	602259			1
0	652419			1
0	422352			1
0	228367	1	50	1
0	641593			1
0	726549	2	48	1
